Sector,Sub-Industry,Production process,Impact driver,Rating
Industrials,Airlines,Airport services,Disturbances,H
Industrials,Airlines,Airport services,Freshwater ecosystem use,ND
Industrials,Airlines,Airport services,GHG emissions,VH
Industrials,Airlines,Airport services,Marine ecosystem use,ND
Industrials,Airlines,Airport services,Non-GHG air pollutants,H
Industrials,Airlines,Airport services,Other resource use,ND
Industrials,Airlines,Airport services,Soil pollutants,H
Industrials,Airlines,Airport services,Solid waste,H
Industrials,Airlines,Airport services,Terrestrial ecosystem use,ND
Industrials,Airlines,Airport services,Water pollutants,H
Industrials,Airlines,Airport services,Water use,H
Industrials,Airlines,Airport services,Biological interferences/alterations,H
Industrials,Airport Services,Airport services,Disturbances,H
Industrials,Airport Services,Airport services,Freshwater ecosystem use,ND
Industrials,Airport Services,Airport services,GHG emissions,VH
Industrials,Airport Services,Airport services,Marine ecosystem use,ND
Industrials,Airport Services,Airport services,Non-GHG air pollutants,H
Industrials,Airport Services,Airport services,Other resource use,ND
Industrials,Airport Services,Airport services,Soil pollutants,H
Industrials,Airport Services,Airport services,Solid waste,H
Industrials,Airport Services,Airport services,Terrestrial ecosystem use,ND
Industrials,Airport Services,Airport services,Water pollutants,H
Industrials,Airport Services,Airport services,Water use,H
Industrials,Airport Services,Airport services,Biological interferences/alterations,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Disturbances,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Freshwater ecosystem use,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,GHG emissions,VH
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Marine ecosystem use,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Non-GHG air pollutants,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Other resource use,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Soil pollutants,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Solid waste,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Terrestrial ecosystem use,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Water pollutants,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Water use,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Biological interferences/alterations,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Disturbances,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Freshwater ecosystem use,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,GHG emissions,VH
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Marine ecosystem use,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Non-GHG air pollutants,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Other resource use,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Soil pollutants,H
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Solid waste,H
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Terrestrial ecosystem use,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Water pollutants,H
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Water use,H
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Biological interferences/alterations,ND
Materials,Aluminum,Alumina refining,Disturbances,ND
Materials,Aluminum,Alumina refining,Freshwater ecosystem use,ND
Materials,Aluminum,Alumina refining,GHG emissions,VH
Materials,Aluminum,Alumina refining,Marine ecosystem use,ND
Materials,Aluminum,Alumina refining,Non-GHG air pollutants,ND
Materials,Aluminum,Alumina refining,Other resource use,ND
Materials,Aluminum,Alumina refining,Soil pollutants,H
Materials,Aluminum,Alumina refining,Solid waste,H
Materials,Aluminum,Alumina refining,Terrestrial ecosystem use,ND
Materials,Aluminum,Alumina refining,Water pollutants,H
Materials,Aluminum,Alumina refining,Water use,VH
Materials,Aluminum,Alumina refining,Biological interferences/alterations,ND
Consumer Staples,Agricultural Products,Aquaculture,Disturbances,ND
Consumer Staples,Agricultural Products,Aquaculture,Freshwater ecosystem use,VH
Consumer Staples,Agricultural Products,Aquaculture,GHG emissions,ND
Consumer Staples,Agricultural Products,Aquaculture,Marine ecosystem use,H
Consumer Staples,Agricultural Products,Aquaculture,Non-GHG air pollutants,ND
Consumer Staples,Agricultural Products,Aquaculture,Other resource use,M
Consumer Staples,Agricultural Products,Aquaculture,Soil pollutants,H
Consumer Staples,Agricultural Products,Aquaculture,Solid waste,ND
Consumer Staples,Agricultural Products,Aquaculture,Terrestrial ecosystem use,ND
Consumer Staples,Agricultural Products,Aquaculture,Water pollutants,H
Consumer Staples,Agricultural Products,Aquaculture,Water use,ND
Consumer Staples,Agricultural Products,Aquaculture,Biological interferences/alterations,M
Utilities,Renewable Electricity,Biomass energy production,Disturbances,ND
Utilities,Renewable Electricity,Biomass energy production,Freshwater ecosystem use,ND
Utilities,Renewable Electricity,Biomass energy production,GHG emissions,VH
Utilities,Renewable Electricity,Biomass energy production,Marine ecosystem use,ND
Utilities,Renewable Electricity,Biomass energy production,Non-GHG air pollutants,H
Utilities,Renewable Electricity,Biomass energy production,Other resource use,ND
Utilities,Renewable Electricity,Biomass energy production,Soil pollutants,ND
Utilities,Renewable Electricity,Biomass energy production,Solid waste,H
Utilities,Renewable Electricity,Biomass energy production,Terrestrial ecosystem use,ND
Utilities,Renewable Electricity,Biomass energy production,Water pollutants,H
Utilities,Renewable Electricity,Biomass energy production,Water use,H
Utilities,Renewable Electricity,Biomass energy production,Biological interferences/alterations,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Disturbances,H
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Freshwater ecosystem use,L
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,GHG emissions,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Marine ecosystem use,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Non-GHG air pollutants,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Other resource use,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Soil pollutants,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Solid waste,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Terrestrial ecosystem use,L
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Water pollutants,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Water use,ND
Consumer Discretionary,Cable & Satellite,Cable and satellite installations on land,Biological interferences/alterations,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Disturbances,H
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Freshwater ecosystem use,L
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,GHG emissions,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Marine ecosystem use,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Non-GHG air pollutants,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Other resource use,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Soil pollutants,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Solid waste,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Terrestrial ecosystem use,L
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Water pollutants,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Water use,ND
Telecommunication Services,Alternative Carriers,Cable and satellite installations on land,Biological interferences/alterations,ND
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Disturbances,ND
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Freshwater ecosystem use,ND
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",GHG emissions,VH
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Marine ecosystem use,ND
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Non-GHG air pollutants,H
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Other resource use,ND
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Soil pollutants,H
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Solid waste,H
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Terrestrial ecosystem use,H
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Water pollutants,H
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Water use,H
Materials,Commodity Chemicals,"Catalytic cracking, fractional distillation and crystallization",Biological interferences/alterations,ND
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Disturbances,ND
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Freshwater ecosystem use,ND
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",GHG emissions,VH
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Marine ecosystem use,ND
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Non-GHG air pollutants,H
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Other resource use,ND
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Soil pollutants,H
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Solid waste,H
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Terrestrial ecosystem use,H
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Water pollutants,H
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Water use,H
Materials,Industrial Gases,"Catalytic cracking, fractional distillation and crystallization",Biological interferences/alterations,ND
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Disturbances,ND
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Freshwater ecosystem use,ND
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",GHG emissions,VH
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Marine ecosystem use,ND
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Non-GHG air pollutants,H
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Other resource use,ND
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Soil pollutants,H
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Solid waste,H
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Terrestrial ecosystem use,H
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Water pollutants,H
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Water use,H
Materials,Specialty Chemicals,"Catalytic cracking, fractional distillation and crystallization",Biological interferences/alterations,ND
Consumer Discretionary,Homebuilding,Construction,Disturbances,H
Consumer Discretionary,Homebuilding,Construction,Freshwater ecosystem use,H
Consumer Discretionary,Homebuilding,Construction,GHG emissions,VH
Consumer Discretionary,Homebuilding,Construction,Marine ecosystem use,ND
Consumer Discretionary,Homebuilding,Construction,Non-GHG air pollutants,H
Consumer Discretionary,Homebuilding,Construction,Other resource use,ND
Consumer Discretionary,Homebuilding,Construction,Soil pollutants,M
Consumer Discretionary,Homebuilding,Construction,Solid waste,H
Consumer Discretionary,Homebuilding,Construction,Terrestrial ecosystem use,VH
Consumer Discretionary,Homebuilding,Construction,Water pollutants,M
Consumer Discretionary,Homebuilding,Construction,Water use,H
Consumer Discretionary,Homebuilding,Construction,Biological interferences/alterations,M
Industrials,Highways & Railtracks,Construction,Disturbances,H
Industrials,Highways & Railtracks,Construction,Freshwater ecosystem use,H
Industrials,Highways & Railtracks,Construction,GHG emissions,VH
Industrials,Highways & Railtracks,Construction,Marine ecosystem use,ND
Industrials,Highways & Railtracks,Construction,Non-GHG air pollutants,H
Industrials,Highways & Railtracks,Construction,Other resource use,ND
Industrials,Highways & Railtracks,Construction,Soil pollutants,M
Industrials,Highways & Railtracks,Construction,Solid waste,H
Industrials,Highways & Railtracks,Construction,Terrestrial ecosystem use,VH
Industrials,Highways & Railtracks,Construction,Water pollutants,M
Industrials,Highways & Railtracks,Construction,Water use,H
Industrials,Highways & Railtracks,Construction,Biological interferences/alterations,M
Materials,Construction Materials,Construction materials production,Disturbances,H
Materials,Construction Materials,Construction materials production,Freshwater ecosystem use,H
Materials,Construction Materials,Construction materials production,GHG emissions,VH
Materials,Construction Materials,Construction materials production,Marine ecosystem use,H
Materials,Construction Materials,Construction materials production,Non-GHG air pollutants,H
Materials,Construction Materials,Construction materials production,Other resource use,ND
Materials,Construction Materials,Construction materials production,Soil pollutants,ND
Materials,Construction Materials,Construction materials production,Solid waste,H
Materials,Construction Materials,Construction materials production,Terrestrial ecosystem use,VH
Materials,Construction Materials,Construction materials production,Water pollutants,M
Materials,Construction Materials,Construction materials production,Water use,H
Materials,Construction Materials,Construction materials production,Biological interferences/alterations,ND
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Disturbances,ND
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Freshwater ecosystem use,ND
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,GHG emissions,VH
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Marine ecosystem use,M
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Non-GHG air pollutants,L
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Other resource use,ND
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Soil pollutants,ND
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Solid waste,M
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Terrestrial ecosystem use,ND
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Water pollutants,H
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Water use,M
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Cruise line provision,Biological interferences/alterations,ND
Materials,Industrial Gases,Cryogenic air separation,Disturbances,H
Materials,Industrial Gases,Cryogenic air separation,Freshwater ecosystem use,ND
Materials,Industrial Gases,Cryogenic air separation,GHG emissions,ND
Materials,Industrial Gases,Cryogenic air separation,Marine ecosystem use,ND
Materials,Industrial Gases,Cryogenic air separation,Non-GHG air pollutants,L
Materials,Industrial Gases,Cryogenic air separation,Other resource use,ND
Materials,Industrial Gases,Cryogenic air separation,Soil pollutants,M
Materials,Industrial Gases,Cryogenic air separation,Solid waste,ND
Materials,Industrial Gases,Cryogenic air separation,Terrestrial ecosystem use,ND
Materials,Industrial Gases,Cryogenic air separation,Water pollutants,M
Materials,Industrial Gases,Cryogenic air separation,Water use,H
Materials,Industrial Gases,Cryogenic air separation,Biological interferences/alterations,ND
Consumer Discretionary,Distributors,Distribution,Disturbances,H
Consumer Discretionary,Distributors,Distribution,Freshwater ecosystem use,ND
Consumer Discretionary,Distributors,Distribution,GHG emissions,VH
Consumer Discretionary,Distributors,Distribution,Marine ecosystem use,M
Consumer Discretionary,Distributors,Distribution,Non-GHG air pollutants,H
Consumer Discretionary,Distributors,Distribution,Other resource use,ND
Consumer Discretionary,Distributors,Distribution,Soil pollutants,L
Consumer Discretionary,Distributors,Distribution,Solid waste,ND
Consumer Discretionary,Distributors,Distribution,Terrestrial ecosystem use,ND
Consumer Discretionary,Distributors,Distribution,Water pollutants,L
Consumer Discretionary,Distributors,Distribution,Water use,ND
Consumer Discretionary,Distributors,Distribution,Biological interferences/alterations,H
Consumer Staples,Food Distributors,Distribution,Disturbances,H
Consumer Staples,Food Distributors,Distribution,Freshwater ecosystem use,ND
Consumer Staples,Food Distributors,Distribution,GHG emissions,VH
Consumer Staples,Food Distributors,Distribution,Marine ecosystem use,M
Consumer Staples,Food Distributors,Distribution,Non-GHG air pollutants,H
Consumer Staples,Food Distributors,Distribution,Other resource use,ND
Consumer Staples,Food Distributors,Distribution,Soil pollutants,L
Consumer Staples,Food Distributors,Distribution,Solid waste,ND
Consumer Staples,Food Distributors,Distribution,Terrestrial ecosystem use,ND
Consumer Staples,Food Distributors,Distribution,Water pollutants,L
Consumer Staples,Food Distributors,Distribution,Water use,ND
Consumer Staples,Food Distributors,Distribution,Biological interferences/alterations,H
Health Care,Health Care Distributors,Distribution,Disturbances,H
Health Care,Health Care Distributors,Distribution,Freshwater ecosystem use,ND
Health Care,Health Care Distributors,Distribution,GHG emissions,VH
Health Care,Health Care Distributors,Distribution,Marine ecosystem use,M
Health Care,Health Care Distributors,Distribution,Non-GHG air pollutants,H
Health Care,Health Care Distributors,Distribution,Other resource use,ND
Health Care,Health Care Distributors,Distribution,Soil pollutants,L
Health Care,Health Care Distributors,Distribution,Solid waste,ND
Health Care,Health Care Distributors,Distribution,Terrestrial ecosystem use,ND
Health Care,Health Care Distributors,Distribution,Water pollutants,L
Health Care,Health Care Distributors,Distribution,Water use,ND
Health Care,Health Care Distributors,Distribution,Biological interferences/alterations,H
Industrials,Air Freight & Logistics,Distribution,Disturbances,H
Industrials,Air Freight & Logistics,Distribution,Freshwater ecosystem use,ND
Industrials,Air Freight & Logistics,Distribution,GHG emissions,VH
Industrials,Air Freight & Logistics,Distribution,Marine ecosystem use,M
Industrials,Air Freight & Logistics,Distribution,Non-GHG air pollutants,H
Industrials,Air Freight & Logistics,Distribution,Other resource use,ND
Industrials,Air Freight & Logistics,Distribution,Soil pollutants,L
Industrials,Air Freight & Logistics,Distribution,Solid waste,ND
Industrials,Air Freight & Logistics,Distribution,Terrestrial ecosystem use,ND
Industrials,Air Freight & Logistics,Distribution,Water pollutants,L
Industrials,Air Freight & Logistics,Distribution,Water use,ND
Industrials,Air Freight & Logistics,Distribution,Biological interferences/alterations,H
Industrials,Trading Companies & Distributors,Distribution,Disturbances,H
Industrials,Trading Companies & Distributors,Distribution,Freshwater ecosystem use,ND
Industrials,Trading Companies & Distributors,Distribution,GHG emissions,VH
Industrials,Trading Companies & Distributors,Distribution,Marine ecosystem use,M
Industrials,Trading Companies & Distributors,Distribution,Non-GHG air pollutants,H
Industrials,Trading Companies & Distributors,Distribution,Other resource use,ND
Industrials,Trading Companies & Distributors,Distribution,Soil pollutants,L
Industrials,Trading Companies & Distributors,Distribution,Solid waste,ND
Industrials,Trading Companies & Distributors,Distribution,Terrestrial ecosystem use,ND
Industrials,Trading Companies & Distributors,Distribution,Water pollutants,L
Industrials,Trading Companies & Distributors,Distribution,Water use,ND
Industrials,Trading Companies & Distributors,Distribution,Biological interferences/alterations,H
Information Technology,Technology Distributors,Distribution,Disturbances,H
Information Technology,Technology Distributors,Distribution,Freshwater ecosystem use,ND
Information Technology,Technology Distributors,Distribution,GHG emissions,VH
Information Technology,Technology Distributors,Distribution,Marine ecosystem use,M
Information Technology,Technology Distributors,Distribution,Non-GHG air pollutants,H
Information Technology,Technology Distributors,Distribution,Other resource use,ND
Information Technology,Technology Distributors,Distribution,Soil pollutants,L
Information Technology,Technology Distributors,Distribution,Solid waste,ND
Information Technology,Technology Distributors,Distribution,Terrestrial ecosystem use,ND
Information Technology,Technology Distributors,Distribution,Water pollutants,L
Information Technology,Technology Distributors,Distribution,Water use,ND
Information Technology,Technology Distributors,Distribution,Biological interferences/alterations,H
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Disturbances,ND
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Freshwater ecosystem use,ND
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,GHG emissions,VH
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Marine ecosystem use,ND
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Non-GHG air pollutants,ND
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Other resource use,ND
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Soil pollutants,ND
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Solid waste,ND
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Terrestrial ecosystem use,M
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Water pollutants,M
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Water use,ND
Utilities,Electric Utilities,Electric/nuclear power transmission and distribution,Biological interferences/alterations,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Disturbances,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Freshwater ecosystem use,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,GHG emissions,VH
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Marine ecosystem use,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Non-GHG air pollutants,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Other resource use,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Soil pollutants,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Solid waste,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Terrestrial ecosystem use,M
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Water pollutants,M
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Water use,ND
Utilities,Independent Power Producers & Energy Traders,Electric/nuclear power transmission and distribution,Biological interferences/alterations,ND
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Disturbances,M
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Freshwater ecosystem use,ND
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,GHG emissions,ND
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Marine ecosystem use,ND
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Non-GHG air pollutants,ND
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Other resource use,ND
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Soil pollutants,H
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Solid waste,M
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Terrestrial ecosystem use,ND
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Water pollutants,H
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Water use,ND
Consumer Discretionary,Consumer Electronics,Electronics and hardware production,Biological interferences/alterations,ND
Industrials,Electrical Components & Equipment,Electronics and hardware production,Disturbances,M
Industrials,Electrical Components & Equipment,Electronics and hardware production,Freshwater ecosystem use,ND
Industrials,Electrical Components & Equipment,Electronics and hardware production,GHG emissions,ND
Industrials,Electrical Components & Equipment,Electronics and hardware production,Marine ecosystem use,ND
Industrials,Electrical Components & Equipment,Electronics and hardware production,Non-GHG air pollutants,ND
Industrials,Electrical Components & Equipment,Electronics and hardware production,Other resource use,ND
Industrials,Electrical Components & Equipment,Electronics and hardware production,Soil pollutants,H
Industrials,Electrical Components & Equipment,Electronics and hardware production,Solid waste,M
Industrials,Electrical Components & Equipment,Electronics and hardware production,Terrestrial ecosystem use,ND
Industrials,Electrical Components & Equipment,Electronics and hardware production,Water pollutants,H
Industrials,Electrical Components & Equipment,Electronics and hardware production,Water use,ND
Industrials,Electrical Components & Equipment,Electronics and hardware production,Biological interferences/alterations,ND
Information Technology,Communications Equipment,Electronics and hardware production,Disturbances,M
Information Technology,Communications Equipment,Electronics and hardware production,Freshwater ecosystem use,ND
Information Technology,Communications Equipment,Electronics and hardware production,GHG emissions,ND
Information Technology,Communications Equipment,Electronics and hardware production,Marine ecosystem use,ND
Information Technology,Communications Equipment,Electronics and hardware production,Non-GHG air pollutants,ND
Information Technology,Communications Equipment,Electronics and hardware production,Other resource use,ND
Information Technology,Communications Equipment,Electronics and hardware production,Soil pollutants,H
Information Technology,Communications Equipment,Electronics and hardware production,Solid waste,M
Information Technology,Communications Equipment,Electronics and hardware production,Terrestrial ecosystem use,ND
Information Technology,Communications Equipment,Electronics and hardware production,Water pollutants,H
Information Technology,Communications Equipment,Electronics and hardware production,Water use,ND
Information Technology,Communications Equipment,Electronics and hardware production,Biological interferences/alterations,ND
Information Technology,Electronic Components,Electronics and hardware production,Disturbances,M
Information Technology,Electronic Components,Electronics and hardware production,Freshwater ecosystem use,ND
Information Technology,Electronic Components,Electronics and hardware production,GHG emissions,ND
Information Technology,Electronic Components,Electronics and hardware production,Marine ecosystem use,ND
Information Technology,Electronic Components,Electronics and hardware production,Non-GHG air pollutants,ND
Information Technology,Electronic Components,Electronics and hardware production,Other resource use,ND
Information Technology,Electronic Components,Electronics and hardware production,Soil pollutants,H
Information Technology,Electronic Components,Electronics and hardware production,Solid waste,M
Information Technology,Electronic Components,Electronics and hardware production,Terrestrial ecosystem use,ND
Information Technology,Electronic Components,Electronics and hardware production,Water pollutants,H
Information Technology,Electronic Components,Electronics and hardware production,Water use,ND
Information Technology,Electronic Components,Electronics and hardware production,Biological interferences/alterations,ND
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Disturbances,M
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Freshwater ecosystem use,ND
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,GHG emissions,ND
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Marine ecosystem use,ND
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Non-GHG air pollutants,ND
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Other resource use,ND
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Soil pollutants,H
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Solid waste,M
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Terrestrial ecosystem use,ND
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Water pollutants,H
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Water use,ND
Information Technology,Electronic Equipment & Instruments,Electronics and hardware production,Biological interferences/alterations,ND
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Disturbances,M
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Freshwater ecosystem use,ND
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,GHG emissions,ND
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Marine ecosystem use,ND
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Non-GHG air pollutants,ND
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Other resource use,ND
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Soil pollutants,H
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Solid waste,M
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Terrestrial ecosystem use,ND
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Water pollutants,H
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Water use,ND
Information Technology,Electronic Manufacturing Services,Electronics and hardware production,Biological interferences/alterations,ND
Information Technology,"Technology Hardware, Storage & Peripherals",Electronics and hardware production,Disturbances,M
Information Technology,"Technology Hardware, Storage & Peripherals",Electronics and hardware production,Freshwater ecosystem use,ND
Information Technology,"Technology Hardware, Storage & Peripherals",Electronics and hardware production,GHG emissions,ND
Information Technology,"Technology Hardware, Storage & Peripherals",Electronics and hardware production,Marine ecosystem use,ND
Information Technology,"Technology Hardware, Storage & Peripherals",Electronics and hardware production,Non-GHG air pollutants,ND
Information Technology,"Technology Hardware, Storage & Peripherals",Electronics and hardware production,Other resource use,ND
Information Technology,"Technology Hardware, Storage & Peripherals",Electronics and hardware production,Soil pollutants,H
Information Technology,"Technology Hardware, Storage & Peripherals",Electronics and hardware production,Solid waste,M
