Sector,Sub-Industry,Production process,Impact driver,Rating
Consumer Discretionary,Footwear,Footwear production,GHG emissions,ND
Consumer Discretionary,Footwear,Footwear production,Marine ecosystem use,ND
Consumer Discretionary,Footwear,Footwear production,Non-GHG air pollutants,H
Consumer Discretionary,Footwear,Footwear production,Other resource use,ND
Consumer Discretionary,Footwear,Footwear production,Soil pollutants,M
Consumer Discretionary,Footwear,Footwear production,Solid waste,M
Consumer Discretionary,Footwear,Footwear production,Terrestrial ecosystem use,ND
Consumer Discretionary,Footwear,Footwear production,Water pollutants,M
Consumer Discretionary,Footwear,Footwear production,Water use,H
Consumer Discretionary,Footwear,Footwear production,Biological interferences/alterations,ND
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Disturbances,ND
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Freshwater ecosystem use,VH
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,GHG emissions,ND
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Marine ecosystem use,ND
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Non-GHG air pollutants,ND
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Other resource use,H
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Soil pollutants,ND
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Solid waste,ND
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Terrestrial ecosystem use,ND
